IATA,2017GDPPerCapita
ATL,56840
LAX,67763
ORD,61170
DFW,64824
DEN,64379
JFK,71084
SFO,89978
SEA,80833
LAS,43584
MCO,45807
EWR,61619.55556
CLT,49233
PHX,44534
IAH,63311
MIA,48140
BOS,78465
MSP,62809
DTW,52879
PHL,63519
LGA,61619.55556
,
,
