,ATL,BOS,BWI,CLT,DCA,DEN,DFW,DTW,EWR,FLL,HNL,IAD,IAH,JFK,LAS,LAX,LGA,MCO,MDW,MIA,MSP,ORD,PDX,PHL,PHX,SAN,SEA,SFO,SLC,TPA
12,0.83,0.79,0.74,0.88,0.84,0.69,0.86,0.84,0.76,0.77,0.90,0.79,0.79,0.81,0.76,0.76,0.75,0.75,0.76,0.81,0.85,0.73,0.78,0.67,0.76,0.73,0.79,0.71,0.77,0.75
2013,0.82,0.79,0.76,0.93,0.80,0.72,0.86,1.51,0.76,0.77,0.87,0.75,0.82,0.89,0.76,0.85,0.77,0.73,0.79,0.87,1.17,0.72,0.83,0.71,0.79,0.79,0.86,0.84,0.80,0.75
1,0.86,0.77,0.83,0.86,0.74,0.73,0.84,1.51,0.83,0.85,0.84,0.81,0.78,0.99,0.80,0.90,0.73,0.76,0.84,0.89,1.15,0.75,0.80,0.76,0.82,0.82,0.80,0.95,0.69,0.78
2,0.85,0.69,0.82,0.85,0.75,0.73,0.86,1.48,0.79,0.79,0.87,0.69,0.84,0.88,0.79,0.89,0.72,0.75,0.85,0.87,1.15,0.63,0.83,0.75,0.83,0.83,0.85,0.94,0.76,0.76
3,0.85,0.72,0.79,0.91,0.75,0.73,0.92,1.60,0.74,0.77,0.78,0.68,0.91,0.91,0.78,0.88,0.74,0.74,0.81,0.88,1.27,0.71,0.85,0.73,0.83,0.81,0.85,0.89,0.80,0.78
4,0.86,0.79,0.80,0.93,0.79,0.71,0.82,1.65,0.73,0.74,0.84,0.73,0.81,0.86,0.75,0.82,0.72,0.72,0.81,0.82,1.22,0.65,0.80,0.76,0.78,0.81,0.85,0.86,0.82,0.76
5,0.84,0.79,0.76,0.96,0.81,0.75,0.85,1.62,0.74,0.84,0.83,0.69,0.86,0.82,0.80,0.86,0.75,0.78,0.81,0.87,1.20,0.72,0.81,0.68,0.81,0.85,0.90,0.91,0.83,0.82
6,0.71,0.72,0.67,0.84,0.70,0.68,0.78,1.42,0.64,0.70,0.86,0.67,0.78,0.77,0.74,0.79,0.63,0.67,0.73,0.82,1.09,0.63,0.77,0.61,0.76,0.75,0.85,0.75,0.81,0.70
7,0.68,0.72,0.69,0.86,0.72,0.67,0.81,1.31,0.65,0.70,0.87,0.67,0.77,0.73,0.74,0.82,0.65,0.66,0.81,0.80,1.14,0.72,0.81,0.63,0.77,0.78,0.86,0.67,0.80,0.70
8,0.80,0.81,0.76,0.97,0.84,0.69,0.89,1.53,0.76,0.77,0.90,0.78,0.82,0.87,0.74,0.82,0.77,0.70,0.79,0.90,1.20,0.76,0.85,0.70,0.76,0.78,0.88,0.73,0.85,0.75
9,0.88,0.88,0.79,1.04,0.88,0.75,0.94,1.61,0.86,0.79,0.93,0.87,0.88,0.95,0.76,0.88,0.92,0.75,0.86,0.90,1.21,0.83,0.87,0.78,0.79,0.80,0.89,0.81,0.86,0.79
10,0.90,0.94,0.81,1.05,0.93,0.80,0.93,1.67,0.84,0.84,0.91,0.91,0.87,1.00,0.78,0.87,0.95,0.78,0.85,0.96,1.20,0.82,0.93,0.77,0.80,0.81,0.89,0.87,0.87,0.80
11,0.85,0.94,0.80,1.01,0.92,0.81,0.93,1.54,0.86,0.84,0.91,0.85,0.86,1.01,0.79,0.88,0.90,0.80,0.79,0.91,1.22,0.80,0.94,0.77,0.81,0.81,0.89,0.89,0.87,0.80
12,0.77,0.79,0.64,0.91,0.80,0.62,0.77,1.23,0.68,0.62,0.92,0.67,0.72,0.87,0.67,0.79,0.80,0.63,0.60,0.83,1.00,0.58,0.74,0.64,0.69,0.69,0.77,0.84,0.66,0.62
